Código,Cotação,P/L,P/VP,RSR,DY,P/Ativo,P/Cap.Giro,P/EBIT,P/ACL,EV/EBITDA,EV/EBIT,Mrg.Liq,Lig.Corr,ROIC,ROE,Liquidez 2 meses,Patrimonio Líquido,Dív. Bruta/Patrimonio,Cresc. Rec. 5a
LECO4,"1,46","-13,48","2,00","0,637","0,00%","0,924","-16,84","-29,69","-3,16","-32,69","-32,69","-2,14%","-4,72%","0,82","-3,48%","-14,82%","0,00","105.928.000,00","0,20","3,58%"
SEDU3,"23,80","-13,36","15,00","3,443","0,00%","1,531","57,90","-22,47","-2,67","-28,68","-69,64","-15,33%","-25,73%","1,09","-8,15%","-112,29%","0,00","415.869.000,00","4,67","10,87%"
TESA3,"48,00","-13,30","1,62","1,007","0,00%","0,523","-11,10","9,41","-1,35","15,25","10,09","10,71%","-7,58%","0,86","6,42%","-12,18%","0,00","858.223.000,00","1,04","15,48%"
ATED3,"2,40","-13,22","3,15","2,159","0,00%","2,504","6,67","35,82","7,45","34,70","19,37","6,03%","-14,88%","6,02","8,27%","-23,81%","75.109,50","18.149.000,00","0,07","-22,99%"
AZTE3,"0,35","-12,75","0,51","43,747","0,00%","0,468","-36,58","-16,52","-8,36","-16,65","-33,88","-264,88%","-342,99%","0,61","-2,89%","-3,97%","1.436.610,00","248.016.000,00","0,01","30,71%"
IGUA3,"8,15","-12,52","-1,44","0,568","0,00%","0,564","-0,65","8,22","-0,60","14,80","5,80","6,91%","-4,53%","0,34","7,61%","11,52%","0,00","-164.188.000,00","-1,33","-7,41%"
FGUI3,"12,00","-12,41","-2,15","16,009","0,00%","25,203","-2,20","-57,76","-2,05","-70,17","-70,17","-27,72%","-129,00%","0,04","-60,74%","17,32%","0,00","-222.024.000,00","-0,46","2,13%"
IGUA6,"8,07","-12,40","-1,43","0,562","0,00%","0,558","-0,64","8,14","-0,59","14,72","5,77","6,91%","-4,53%","0,34","7,61%","11,52%","0,00","-164.188.000,00","-1,33","-7,41%"
IGUA5,"7,98","-12,26","-1,41","0,556","0,00%","0,552","-0,64","8,04","-0,59","14,63","5,73","6,91%","-4,53%","0,34","7,61%","11,52%","0,00","-164.188.000,00","-1,33","-7,41%"
PRVI3,"10,54","-11,74","1,61","0,919","0,00%","0,565","-250,86","9,71","-1,48","9,87","6,39","9,46%","-7,83%","0,99","6,15%","-13,71%","0,00","525.170.000,00","0,10","16,19%"
MTIG3,"5,21","-11,22","-81,36","12,686","0,00%","8,360","-11,54","-21,36","-9,97","-22,62","-24,76","-59,38%","-113,09%","0,27","-47,80%","725,28%","0,00","-7.835.380,00","-4,95","-26,54%"
CPNY3,"2,35","-11,00","0,42","0,232","0,00%","0,054","0,20","1,21","-0,13","4,21","4,21","19,13%","-2,11%","2,26","5,48%","-3,86%","0,00","398.830.000,00","2,33","20,10%"
GLOB4,"30,49","-9,96","10,73","1,019","0,00%","0,885","-4,01","13,07","-1,81","15,16","10,42","7,80%","-10,23%","0,66","9,61%","-107,71%","0,00","2.774.000.000,00","2,27","-2,38%"
ECPR4,"90,74","-9,92","1,22","0,000","0,00%","0,624","175,57","-82,97","-1,29","-82,60","-82,72","0,00%","0,00%","2,97","-0,75%","-12,28%","0,00","141.476.000,00","0,00","0,00%"
ECPR3,"90,25","-9,87","1,21","0,000","0,00%","0,621","174,62","-82,52","-1,29","-82,15","-82,27","0,00%","0,00%","2,97","-0,75%","-12,28%","0,00","141.476.000,00","0,00","0,00%"
TUPY4,"48,21","-9,72","2,55","0,659","0,00%","0,680","1,84","22,29","-6,86","30,11","12,92","2,96%","-6,78%","2,40","4,48%","-26,24%","0,00","2.503.340.000,00","1,64","6,98%"
LWSA3,"3,79","-9,56","0,87","1,448","8,08%","0,592","7,97","13,71","13,96","11,23","5,90","10,56%","-15,15%","1,26","5,02%","-9,14%","18.485.600,00","2.467.890.000,00","0,03","15,33%"
MSPA3,"47,00","-9,21","0,37","1,700","0,00%","0,210","25,08","-17,66","-0,61","-28,15","54,14","-9,62%","-18,47%","1,10","-1,23%","-4,03%","0,00","811.958.000,00","0,25","2,05%"
