Código,Empresa,Setor,Preço,P/L,P/VP,ROE,DY
CPFE3,"49,25","10,35","2,52","1,279","5,67%","0,700","-45,05","4,97","-1,38","7,26","6,15","25,73%","12,94%","0,93","15,41%","24,39%","91.242.600,00","22.489.800.000,00","1,29","3,32%"
BESP3,"330,00","10,38","2,47","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","23,77%","0,00","5.183.100.000,00","0,00","1,83%"
EKTR3,"51,50","10,42","4,89","1,000","8,97%","0,763","26,54","4,21","-1,33","7,53","6,32","23,73%","9,60%","1,12","20,03%","46,94%","1.570,54","2.041.000.000,00","4,04","4,35%"
VITT3,"4,28","10,43","1,08","0,846","6,11%","0,746","1,93","11,40","2,39","13,57","9,61","7,42%","8,07%","2,65","7,01%","10,32%","1.371.430,00","644.605.000,00","0,28","0,24%"
TCOC4,"27,20","10,43","1,26","1,558","0,00%","0,915","2,65","10,14","3,07","7,89","7,89","15,37%","14,93%","2,53","13,98%","12,06%","0,00","2.812.920.000,00","0,04","16,71%"
ITUB4,"43,30","10,46","2,44","0,000","7,92%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","23,30%","1.487.610.000,00","195.980.000.000,00","0,00","100,66%"
COGN3,"3,18","10,49","0,49","0,936","5,19%","0,272","3,51","3,21","-1,10","5,83","4,38","29,17%","8,35%","1,66","9,50%","4,65%","107.763.000,00","13.453.700.000,00","0,49","10,47%"
WEGE4,"16,10","10,60","3,88","1,656","0,00%","1,585","7,10","7,67","23,97","7,36","6,61","21,60%","16,61%","1,55","27,06%","36,61%","0,00","17.417.200.000,00","0,26","14,31%"
TRFO4,"4,70","10,70","2,68","0,835","0,00%","1,078","4,82","5,73","7,65","5,33","5,33","14,58%","7,80%","1,43","27,63%","25,01%","0,00","76.165.000,00","0,26","16,47%"
VALE5,"33,36","10,72","0,80","0,693","0,00%","0,311","11,11","2,08","-0,79","2,95","2,37","33,31%","5,53%","1,15","17,62%","7,50%","0,00","184.299.000.000,00","0,56","-7,05%"
BMEB3,"65,30","10,73","3,53","0,000","2,21%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","32,90%","481.423,00","2.290.040.000,00","0,00","23,33%"
SMLS3,"22,40","10,78","4,09","4,212","0,00%","1,017","18,78","10,37","-6,72","10,13","9,06","40,62%","39,07%","1,10","10,69%","37,96%","0,00","679.678.000,00","0,00","-22,20%"
MILS3,"13,85","10,78","2,06","1,765","3,35%","0,789","4,40","4,99","-2,76","6,96","4,89","35,35%","16,39%","2,20","19,70%","19,11%","13.540.400,00","1.574.640.000,00","1,19","24,49%"
CGAS3,"126,00","10,80","11,58","1,441","7,00%","1,117","11,79","5,48","-1,77","8,19","6,68","26,30%","13,34%","1,53","23,37%","107,28%","10.634,40","1.441.480.000,00","6,62","-1,40%"
BESP4,"344,00","10,82","2,57","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","23,77%","0,00","5.183.100.000,00","0,00","1,83%"
ALUP3,"13,31","10,83","1,44","2,993","3,21%","0,410","3,58","4,63","-0,99","7,92","7,43","64,71%","39,41%","2,45","9,92%","13,26%","113.605,00","9.163.890.000,00","1,38","-3,01%"
BALM4,"20,00","10,84","1,28","0,917","23,20%","0,713","1,72","4,74","2,77","3,63","3,20","19,33%","10,34%","2,29","21,73%","11,81%","14.408,10","153.044.000,00","0,14","11,66%"
MRSA3B,"50,00","10,87","1,95","2,228","0,00%","0,683","8,69","5,90","-1,61","7,75","5,52","37,73%","20,50%","1,54","14,51%","17,97%","3.509,32","8.651.390.000,00","1,12","13,94%"
MRSA3B,"50,00","10,87","1,95","2,228","0,00%","0,683","8,69","5,90","-1,61","7,75","5,52","37,73%","20,50%","1,54","14,51%","17,97%","3.509,32","8.651.390.000,00","1,12","13,94%"
GRNL4,"470,00","11,09","1,07","7,231","0,00%","0,975","8,04","-64,72","15,01","-63,22","-63,22","-11,17%","65,19%","4,35","-1,65%","9,69%","0,00","93.104.000,00","0,05","21,48%"
